No,Fréquence,Amplitude,Phase
0.0,465.255,1796.9302,2.5039
1.0,932.439,791.2417,-0.6865
2.0,1399.624,113.5718,-3.0203
3.0,1865.43,139.6862,0.9735
4.0,2332.063,174.0261,0.248
5.0,2799.248,57.1354,-1.7803
6.0,3266.708,3.8233,2.0112
7.0,3733.892,19.3085,-1.4523
8.0,4201.903,19.3489,1.3413
9.0,4669.914,2.7387,-1.1093
10.0,5138.477,1.6849,-3.0356
11.0,5608.969,11.2832,-1.6893
12.0,6077.807,5.9298,1.6403
13.0,6548.574,0.773,0.8459
14.0,7019.342,5.5464,-0.3905
15.0,7491.488,8.124,-1.3125
16.0,7963.909,2.2839,-2.6114
17.0,8437.708,1.2113,-1.9145
18.0,8911.232,4.4166,2.2928
19.0,9385.858,4.4462,-1.2258
20.0,9861.311,0.6484,0.5966
21.0,10338.694,2.1972,-2.5032
22.0,10808.91,0.5203,-0.8082
23.0,11294.837,2.4741,2.0769
24.0,11775.802,0.6137,1.2593
25.0,12256.217,2.4677,-1.8338
26.0,12738.285,2.4176,-0.6571
27.0,13220.904,0.9322,-0.1268
28.0,13706.28,0.755,-0.1595
29.0,14191.656,1.4218,-1.623
30.0,14679.788,0.5643,-1.1197
31.0,15166.266,0.1715,-0.1012
